ID	Frequency	color	bikefreq	cultufreqF	theftfreq	cocaine	prosti
1	0.12285	#4b2173	0.222826	0.19457	0.167579	0.059322	0.090566
2	0.140049	#431d67	0.125	0.285068	0.141292	0.0508475	0.008805
3	0.223587	#3c1a5c	0.266304	0.135747	0.24425	0.139831	0.0339623
4	0.0589681	#9379ab	0	0	0.0186199	0	0
5	0.0515971	#a590b9	0.0742754	0.108597	0.0744797	0.0211864	0.0075472
6	0.0737101	#81639d	0.0271739	0	0.0514786	0.0805085	0.215094
7	0.0515971	#b7a6c7	0	0.081448	0.0361446	0.0381356	0.0515723
8	0.036855	#c9bcd5	0.0471014	0.0950226	0.0799562	0.148305	0.0050315
9	0.0933661	#6e4d8f	0.106884	0.0045249	0.0766703	0.461864	0.036478
10	0.113022	#5d3781	0.121377	0.0769231	0.0799562	0	0.527044
11	0.002457	#ede8f1	0.0054348	0.0045249	0.0098576	0	0.0025157
12	0.031941	#dbd2e3	0.0036232	0.0135747	0.0197152	0	0.0213836
